,month,arr_del15,arr_flights,ratio
0,1,7801.0,33374.0,23.374483130580693
1,2,6570.0,30886.0,21.271773619115457
2,3,7541.0,35851.0,21.03428077320019
3,4,8944.0,35430.0,25.24414338131527
4,5,8523.0,36468.0,23.371174728529123
5,6,9465.0,36141.0,26.189092720179296
6,7,10935.0,37162.0,29.425219310047897
7,8,11177.0,38053.0,29.372191417233857
8,9,8428.0,34276.0,24.588633446143074
9,10,7990.0,36249.0,22.041987365168694
10,11,9047.0,33894.0,26.69203988906591
11,12,8252.0,33576.0,24.577078865856564
